SalePrice,OverallQual,GrLivArea,ExterQual,SimplOverallQual,KitchenQual,GarageCars,GarageArea,SimplExterQual,TotalBsmtSF,1stFlrSF
133900,6,2291,3,2,3,2,506,1,1214,1260
204750,6,1786,3,2,4,2,684,1,824,905
185000,6,1470,5,2,3,2,420,2,680,680
214000,7,1588,4,3,4,2,472,2,1588,1588
94750,4,960,3,2,3,1,432,1,960,960
83000,5,835,3,2,3,1,366,1,458,835
128950,4,1225,3,2,3,0,0,1,950,1225
205000,6,1610,3,2,4,2,480,1,1610,1610
178000,6,1732,4,2,4,2,476,2,741,977
118964,5,1535,3,2,3,2,410,1,0,1535
198900,7,1226,3,3,4,3,740,1,1226,1226
169500,7,1818,3,3,3,1,240,1,1040,1226
250000,8,1992,4,3,4,2,648,2,1053,1053
100000,4,1047,3,2,3,1,273,1,641,1047
115000,5,789,3,2,3,1,250,1,789,789
115000,5,1517,3,2,2,0,0,1,793,997
190000,6,1844,3,2,3,2,546,1,1844,1844
136900,6,1855,3,2,3,1,325,1,994,1216
180000,7,1430,3,3,3,2,400,1,384,774
383970,7,2696,4,3,5,3,792,2,1264,1282
217000,6,2259,3,2,4,2,450,1,1809,2259
259500,6,2320,3,2,4,1,180,1,1028,1436
176000,6,1458,3,2,3,2,440,1,729,729
139000,5,1092,3,2,3,1,288,1,1092,1092
155000,5,1125,3,2,3,2,430,1,1125,1125
320000,7,3222,3,3,4,3,594,1,1673,1699
163990,6,1456,4,2,4,2,390,2,728,728
180000,6,988,3,2,3,2,540,1,938,988
100000,4,1123,3,2,3,1,264,1,732,772
136000,6,1080,3,2,3,1,288,1,1080,1080
153900,6,1199,4,2,4,2,530,2,1199,1199
181000,6,1586,3,2,3,2,435,1,1362,1586
84500,6,754,3,2,3,0,0,1,520,520
128000,6,958,3,2,3,2,440,1,1078,958
87000,5,840,3,2,3,0,0,1,672,840
155000,6,1348,3,2,3,2,453,1,660,660
150000,5,1053,3,2,5,2,750,1,1008,1053
226000,7,2157,3,3,4,2,487,1,924,1216
244000,6,2054,4,2,4,2,390,2,992,1022
150750,5,1327,3,2,4,2,624,1,1063,1327
220000,8,1296,4,3,4,2,471,2,1267,1296
180000,5,1721,3,2,3,2,440,1,1461,1721
174000,7,1682,3,3,3,2,530,1,1304,1682
143000,5,1214,3,2,3,1,318,1,1214,1214
171000,7,1959,3,3,3,3,766,1,1907,1959
230000,8,1852,4,3,4,3,660,2,1004,1004
231500,6,1764,3,2,4,2,470,1,928,928
115000,4,864,3,2,3,0,0,1,864,864
260000,7,1734,4,3,4,2,660,2,1734,1734
166000,5,1385,3,2,3,2,720,1,910,910
204000,7,1501,4,3,4,2,577,2,1490,1501
125000,5,1728,3,2,3,2,504,1,1728,1728
130000,6,1709,4,2,4,2,380,2,970,970
105000,5,875,3,2,3,1,180,1,715,875
222500,7,2035,4,3,4,2,434,2,884,884
141000,7,1080,3,3,4,0,0,1,1080,1080
115000,5,1344,3,2,3,1,240,1,896,896
122000,5,969,3,2,3,2,440,1,969,969
372402,8,1710,4,3,4,3,866,2,1710,1710
190000,6,1993,3,2,3,2,495,1,825,1097
235000,6,1252,3,2,3,2,564,1,1602,1252
125000,6,1200,3,2,3,1,312,1,1200,1200
79000,6,1096,3,2,3,0,0,1,572,572
109500,5,1040,3,2,3,2,625,1,0,1040
269500,8,1968,4,3,5,3,680,2,774,774
254900,7,1947,4,3,4,2,678,2,991,991
320000,7,2462,4,3,4,2,576,2,1392,1392
162500,6,1232,3,2,3,2,516,1,1232,1232
412500,9,2668,4,3,5,3,726,2,1572,1572
220000,7,1541,4,3,4,2,532,2,1541,1541
103200,4,882,3,2,3,0,0,1,882,882
152000,6,1616,3,2,4,1,216,1,1149,1149
127500,5,1355,3,2,3,0,0,1,644,808
190000,5,1867,4,2,3,1,303,2,1617,1867
325624,8,2161,4,3,5,3,789,2,1582,1610
183500,7,1720,4,3,4,2,440,2,840,840
228000,8,1707,4,3,3,2,511,2,1686,1707
128500,5,1382,3,2,3,2,660,1,720,854
215000,6,1656,3,2,3,2,528,1,1080,1656
239000,7,1767,4,3,4,2,504,2,1064,1064
163000,6,1362,3,2,3,2,504,1,1362,1362
184000,6,1651,3,2,3,2,616,1,1606,1651
243000,6,2158,3,2,4,2,576,1,1202,2158
211000,6,2060,4,2,3,2,521,2,1151,1164
172500,5,1920,4,2,4,2,451,2,1052,1252
501837,9,2234,5,3,5,3,1166,2,2216,2234
100000,5,968,4,2,3,2,480,2,968,968
177000,6,1525,4,2,4,2,440,2,756,769
200100,7,1802,3,3,3,1,216,1,793,901
120000,5,1340,3,2,3,1,252,1,0,1340
200000,7,2082,3,3,4,2,484,1,1362,1362
127000,5,1252,3,2,3,2,576,1,504,936
475000,10,3608,4,3,5,3,840,2,1107,1518
173000,7,1217,3,3,4,2,497,1,1188,1217
135000,5,1656,3,2,3,1,180,1,660,808
153337,5,1224,3,2,3,2,528,1,1086,1224
286000,8,1593,4,3,5,2,682,2,1593,1593
315000,8,2727,4,3,4,2,440,2,853,1549
184000,7,1479,3,3,4,2,484,1,725,725
192000,7,1431,4,3,4,2,666,2,1431,1431
130000,7,1709,4,3,4,2,380,2,970,970
127000,5,864,3,2,3,1,352,1,864,864
148500,6,1456,3,2,3,2,440,1,855,855
311872,7,1726,5,3,5,3,786,2,1726,1726
235000,8,3112,4,3,4,2,795,2,1360,1360
104000,6,2229,3,2,3,0,0,1,755,929
274900,8,1713,4,3,5,3,856,2,1713,1713
140000,4,1121,3,2,3,2,440,1,1121,1121
171500,6,1279,3,2,3,2,473,1,1196,1279
112000,6,1310,3,2,3,1,398,1,617,865
149000,6,848,4,2,4,2,420,2,848,848
110000,5,1284,3,2,3,1,240,1,720,720
180500,7,1442,3,3,3,2,500,1,1424,1442
143900,5,1696,3,2,3,1,349,1,1140,1696
141000,4,1100,3,2,3,1,312,1,1100,1100
277000,7,2062,4,3,3,2,454,2,1157,1180
145000,6,1092,3,2,3,2,504,1,1092,1092
98000,5,864,3,2,3,0,0,1,864,864
186000,6,1212,3,2,4,2,460,1,1212,1212
252678,7,1852,3,3,4,2,644,1,900,932
156000,5,990,3,2,3,2,576,1,990,990
161750,6,1392,3,2,3,1,299,1,689,689
134450,5,1236,3,2,4,1,447,1,1070,1236
210000,7,1436,4,3,4,2,484,2,1436,1436
107000,4,1328,3,2,3,1,210,1,686,810
311500,7,1954,4,3,4,2,431,2,798,1137
167240,7,1248,4,3,4,2,438,2,1248,1248
204900,7,1498,4,3,4,2,675,2,1498,1498
200000,6,2267,4,2,4,2,390,2,1010,1010
179900,6,1552,3,2,3,2,434,1,713,811
97000,4,864,3,2,3,2,576,1,864,864
386250,10,2392,5,3,5,3,968,2,2392,2392
112000,5,1302,3,2,3,1,280,1,630,630
290000,7,2520,4,3,4,3,721,2,1203,1214
106000,6,987,3,2,3,1,280,1,483,483
125000,5,912,3,2,3,1,336,1,912,912
192500,7,1555,4,3,4,2,430,2,1373,1555
148000,6,1194,3,2,3,1,312,1,1194,1194
403000,8,2794,4,3,5,3,810,2,1462,1490
94500,6,987,3,2,3,1,288,1,483,483
128200,5,894,3,2,3,1,308,1,894,894
216500,6,1960,4,2,4,2,440,2,860,860
89500,6,987,3,2,3,1,264,1,483,483
185500,7,1414,4,3,4,2,494,2,1414,1414
194500,7,1744,4,3,4,2,457,2,996,1014
318000,8,1694,5,3,4,3,818,2,1694,1694
113000,6,1487,3,2,3,1,220,1,735,798
262500,8,1566,4,3,4,2,750,2,1566,1566
110500,5,866,3,2,4,0,0,1,686,866
79000,5,1440,3,2,3,1,352,1,540,889
120000,6,1217,3,2,3,1,288,1,626,626
205000,7,2110,4,3,4,2,463,2,948,1222
241500,7,1872,3,3,3,2,604,1,1845,1872
137000,6,1928,3,2,2,1,440,1,1020,908
140000,6,1375,3,2,3,2,451,1,1367,1375
180000,7,1668,4,3,4,2,500,2,840,840
277000,6,2144,4,2,4,2,389,2,1444,1444
76500,3,1306,3,1,2,0,0,1,728,1306
235000,8,1625,4,3,4,2,538,2,1573,1625
173000,6,1640,4,2,4,2,520,2,798,798
158000,6,1302,3,2,4,1,309,1,1302,1302
145000,5,1314,3,2,3,1,294,1,1314,1314
230000,7,2291,4,3,4,2,429,2,975,1005
207500,6,1728,4,2,4,2,673,2,864,864
220000,7,1604,4,3,4,2,660,2,1604,1604
231500,7,1792,4,3,4,2,564,2,963,963
97000,5,882,3,2,3,1,308,1,0,882
176000,6,1382,3,2,3,2,884,1,1362,1382
276000,8,2574,4,3,5,3,868,2,1482,1482
151000,6,1212,3,2,3,2,492,1,506,1212
130000,5,1316,3,2,3,2,484,1,926,926
73000,5,764,3,2,3,2,504,1,680,764
175500,6,1422,3,2,4,2,576,1,1422,1422
185000,6,1511,3,2,3,2,413,1,802,802
179500,5,2192,3,2,4,1,240,1,720,1052
120500,5,778,3,2,3,1,924,1,740,778
148000,6,1113,3,2,3,1,504,1,1143,1113
266000,8,1939,4,3,4,3,1053,2,1095,1095
241500,7,1363,3,3,3,2,439,1,1385,1363
290000,8,2270,4,3,4,3,671,2,1152,1164
139000,6,1632,3,2,3,1,338,1,1240,1632
124500,5,816,3,2,3,1,264,1,816,816
205000,7,1548,4,3,5,2,672,2,952,952
201000,7,1560,4,3,4,2,573,2,1560,1560
141000,4,864,3,2,3,2,400,1,864,864
415298,9,2121,5,3,5,3,732,2,2121,2121
192000,7,2022,3,3,3,2,505,1,1160,1156
228500,7,1982,4,3,4,2,575,2,807,1175
185000,6,1262,4,2,4,2,572,2,1262,1262
207500,7,1314,4,3,4,2,626,2,1314,1314
244600,8,1468,4,3,4,3,898,2,1468,1468
179200,6,1575,4,2,4,2,529,2,1575,1575
164700,7,1250,4,3,4,2,528,2,625,625
159000,6,1734,3,2,4,2,440,1,912,1085
88000,4,858,3,2,3,0,0,1,858,858
122000,5,900,3,2,3,1,280,1,882,900
153575,6,1396,3,2,3,1,384,1,698,698
233230,8,1919,4,3,4,2,685,2,1079,1079
135900,5,1716,3,2,2,0,0,1,780,936
131000,5,1716,3,2,3,1,281,1,768,1148
235000,7,2263,3,3,4,2,539,1,795,1468
167000,6,1644,3,2,3,2,418,1,1416,1644
142500,6,1003,3,2,3,2,588,1,1003,1003
152000,5,1558,3,2,3,1,282,1,910,910
239000,7,1950,4,3,4,2,576,2,975,975
175000,6,1743,4,2,3,2,539,2,702,1041
158500,6,1152,3,2,4,1,300,1,1092,1152
157000,5,1336,3,2,3,1,375,1,1165,1336
267000,8,2452,4,3,4,2,683,2,1028,1210
205000,7,1541,4,3,4,3,843,2,1541,1541
149900,5,894,3,2,3,2,552,1,894,894
295000,7,3493,3,3,4,3,870,1,1470,1675
305900,8,2000,4,3,4,3,888,2,2000,2000
225000,7,2243,4,3,4,3,746,2,700,1122
89500,6,1406,3,2,2,0,0,1,319,1035
82500,4,861,3,2,3,2,539,1,861,861
360000,9,1944,4,3,5,3,708,2,1896,1944
165600,6,1501,3,2,4,2,420,1,697,697
132000,6,972,3,2,3,1,240,1,972,972
119900,5,1118,3,2,3,2,410,1,793,793
375000,7,2036,3,3,3,2,513,1,2136,2036
178000,7,1641,3,3,5,2,546,1,728,832
188500,7,1432,4,3,4,2,432,2,716,716
260000,7,2353,4,3,5,2,484,2,845,1153
270000,8,1959,4,3,4,3,1025,2,1088,1088
260000,7,2646,4,3,4,3,656,2,1347,1372
187500,7,1472,3,3,3,2,588,1,1372,1472
342643,9,2596,3,3,4,3,840,1,1249,1249
354000,8,2468,4,3,4,3,872,2,1136,1136
301000,7,2730,4,3,4,2,576,2,1502,1553
126175,3,1163,3,1,3,1,220,1,1162,1163
242000,7,2978,4,3,4,2,564,2,710,1898
87000,5,803,3,2,3,2,360,1,720,803
324000,8,1719,4,3,4,2,473,2,1719,1719
145250,6,1383,3,2,3,1,292,1,1383,1383
214500,6,2134,3,2,4,2,441,1,844,1445
78000,5,1192,3,2,3,1,189,1,596,596
119000,5,1728,3,2,3,1,352,1,1728,1728
139000,5,1056,3,2,3,1,308,1,1056,1056
284000,8,1629,4,3,4,3,880,2,3206,1629
207000,7,1358,4,3,4,2,484,2,1358,1358
192000,6,1638,3,2,3,2,472,1,943,943
228950,5,1786,3,2,3,2,529,1,1499,1619
377426,9,1922,4,3,4,3,676,2,1922,1922
214000,7,1536,4,3,4,2,532,2,1536,1536
202500,7,1621,4,3,4,2,440,2,1208,1621
155000,6,1215,3,2,3,1,297,1,1215,1215
202900,8,1908,4,3,4,2,431,2,967,993
82000,4,841,2,2,3,1,294,1,721,841
87500,3,1040,3,1,3,2,400,1,0,1040
266000,9,1684,5,3,5,2,564,2,1684,1684
85000,5,1112,3,2,3,1,336,1,536,536
140200,6,1577,3,2,2,1,312,1,972,972
151500,6,958,3,2,3,1,301,1,958,958
157500,6,1478,3,2,3,2,498,1,1478,1478
154000,7,1626,4,3,4,2,474,2,764,764
437154,9,2728,5,3,5,3,706,2,1848,1848
318061,9,1869,5,3,5,2,617,2,1869,1869
190000,7,1453,3,3,4,2,445,1,1453,1453
95000,5,1111,3,2,3,1,200,1,616,616
105900,6,720,3,2,3,2,484,1,624,720
140000,6,1595,3,2,3,1,240,1,940,1192
177500,6,1200,4,2,4,2,521,2,1200,1200
173000,6,1167,3,2,4,2,400,1,1158,1167
134000,5,1142,3,2,3,2,528,1,1142,1142
130000,5,1352,3,2,4,1,288,1,1062,1352
280000,8,1924,4,3,4,2,592,2,1086,1086
156000,6,912,3,2,3,2,470,1,888,912
145000,5,1505,3,2,3,1,240,1,883,988
198500,7,1922,4,3,4,2,672,2,0,495
118000,6,987,3,2,4,1,264,1,483,483
190000,6,1574,3,2,3,2,566,1,796,790
147000,5,1344,3,2,3,1,468,1,672,672
159000,6,1394,3,2,3,2,514,1,1394,1394
165000,6,1431,3,2,3,1,296,1,1099,1431
132000,5,1268,3,2,3,1,244,1,1268,1268
162000,5,1287,3,2,4,2,576,1,1063,1287
172400,6,1664,3,2,3,2,460,1,953,953
134432,4,1588,3,2,3,2,680,1,0,1120
125000,6,752,3,2,3,1,264,1,744,752
123000,5,1319,3,2,3,1,270,1,608,1319
219500,7,1928,4,3,4,2,434,2,847,847
61000,1,904,2,1,2,0,0,1,683,904
148000,5,914,4,2,3,2,576,2,870,914
340000,8,2466,4,3,4,2,610,2,1580,1580
394432,9,1856,4,3,5,3,834,2,1856,1856
179000,6,1800,3,2,3,2,463,1,982,1007
127000,5,1691,3,2,4,1,308,1,1026,1026
187750,7,1301,4,3,4,2,572,2,1293,1301
213500,7,1797,4,3,4,2,639,2,939,939
76000,6,784,3,2,3,2,360,1,784,784
240000,6,1953,4,2,4,2,501,2,1580,1079
192000,8,1269,4,3,4,2,430,2,1256,1269
81000,5,1184,3,2,3,0,0,1,658,658
125000,6,1125,3,2,3,1,352,1,1041,1125
191000,7,1479,4,3,4,2,577,2,1468,1479
426000,10,2332,5,3,5,3,846,2,1682,1742
119000,5,1367,3,2,3,1,384,1,861,961
215000,6,1961,3,2,4,2,560,1,804,804
106500,5,882,3,2,3,1,294,1,0,882
100000,4,788,3,2,3,0,0,1,788,788
109000,5,1034,3,2,3,1,240,1,735,735
129000,5,1144,3,2,3,1,596,1,1144,1144
123000,5,894,3,2,3,2,600,1,894,894
169500,5,1812,3,2,3,1,264,1,864,876
67000,5,1077,3,2,3,1,338,1,961,1077
241000,7,1550,4,3,4,2,438,2,1092,1112
245500,8,1288,4,3,5,2,500,2,1260,1288
164990,7,1310,4,3,4,2,400,2,1310,1310
108000,5,672,3,2,3,1,240,1,672,672
258000,8,2263,4,3,4,2,420,2,1141,1165
168000,6,1572,3,2,3,2,373,1,806,806
150000,4,1620,3,2,3,2,490,1,1281,1620
115000,6,1639,3,2,3,1,240,1,1064,1166
177000,6,1680,3,2,3,1,308,1,840,840
280000,7,2172,4,3,4,3,947,2,1063,1071
339750,8,2078,4,3,5,3,836,2,1034,1050
60000,5,1276,3,2,3,1,350,1,1276,1276
145000,5,1056,3,2,3,2,572,1,1056,1056
222000,7,1478,5,3,4,2,484,2,1470,1478
115000,5,1028,3,2,3,2,360,1,1008,1028
228000,7,2097,4,3,4,3,678,2,1080,1080
181134,7,1340,4,3,4,2,396,2,1340,1340
149500,6,1400,3,2,3,2,440,1,672,672
239000,6,2624,3,2,3,3,864,1,1370,1370
126000,5,1134,3,2,3,1,240,1,756,756
142000,5,1056,3,2,3,1,304,1,1056,1056
206300,7,1344,3,3,3,4,784,1,1344,1344
215000,6,1602,4,2,4,2,529,2,1602,1602
113000,5,988,3,2,3,2,520,1,988,988
315000,8,2630,4,3,4,3,696,2,1470,1470
139000,6,1196,3,2,3,1,297,1,1196,1196
135000,7,1389,3,3,3,1,240,1,651,707
275000,7,1644,4,3,4,2,569,2,1518,1644
109008,4,907,3,2,3,1,352,1,907,907
195400,7,1208,4,3,4,2,628,2,1208,1208
175000,6,1412,3,2,4,2,576,1,1392,1412
85400,6,987,3,2,3,1,264,1,483,483
79900,6,1198,3,2,3,0,0,1,901,1088
122500,5,1365,3,2,3,2,440,1,765,765
181000,6,1604,3,2,3,2,470,1,926,926
81000,4,630,3,2,3,0,0,1,630,630
212000,7,1661,4,3,4,2,550,2,799,827
116000,6,1118,3,2,3,2,440,1,648,734
119000,6,904,4,2,3,1,180,2,884,904
90350,5,694,3,2,4,1,352,1,440,694
110000,6,1196,3,2,4,2,528,1,684,684
555000,10,2402,5,3,5,3,672,2,3094,2402
118000,4,1440,3,2,2,0,0,1,1440,1440
162900,5,1573,3,2,3,2,360,1,1078,1128
172500,7,1258,4,3,4,3,648,2,1258,1258
210000,7,1908,4,3,4,2,493,2,915,933
127500,6,1689,3,2,3,2,480,1,1436,1689
190000,6,1888,4,2,4,2,578,2,1517,1888
199900,7,1886,4,3,4,2,431,2,930,956
119500,6,1376,3,2,3,1,198,1,780,780
120000,3,1183,3,1,3,1,308,1,649,679
110000,6,813,3,2,4,1,270,1,813,813
280000,7,1533,3,3,4,2,576,1,1533,1533
204000,6,1756,4,2,3,2,422,2,872,888
210000,8,1590,4,3,4,2,676,2,768,786
188000,5,1728,3,2,3,2,560,1,1728,1728
175500,7,1242,3,3,3,2,528,1,1242,1242
98000,5,1344,3,2,3,3,513,1,624,624
256000,4,1663,3,2,4,2,529,1,1364,1663
161000,8,1666,3,3,4,1,228,1,588,833
110000,5,1203,3,2,4,1,352,1,709,979
263435,8,1935,4,3,3,2,552,2,832,832
155000,7,1135,4,3,4,2,576,2,560,575
62383,5,864,3,2,3,1,360,1,864,864
188700,6,1660,3,2,3,1,240,1,715,849
124000,5,1040,3,2,3,0,0,1,1040,1040
178740,7,1414,4,3,4,2,398,2,1375,1414
167000,7,1277,3,3,3,2,526,1,1277,1277
146500,5,1644,3,2,4,1,312,1,728,888
250000,8,1634,4,3,4,3,866,2,1626,1634
187000,6,1710,4,2,4,2,506,2,832,832
212000,8,1502,4,3,4,2,528,2,1488,1502
190000,7,1969,3,3,3,2,534,1,808,1161
148000,6,1072,3,2,3,2,525,1,547,1072
440000,8,1976,4,3,4,3,908,2,1976,1976
251000,8,1652,4,3,5,2,499,2,1494,1652
132500,5,970,3,2,3,2,624,1,970,970
208900,6,1493,3,2,4,2,508,1,1478,1493
380000,9,2643,5,3,5,3,694,2,2153,2069
297000,8,1718,4,3,4,3,826,2,1705,1718
89471,4,1131,3,2,3,2,672,1,907,1131
326000,9,1850,4,3,4,3,772,2,1833,1850
374000,9,1792,4,3,5,3,874,2,1792,1792
155000,7,1826,4,3,5,1,164,2,910,916
164000,6,1216,3,2,3,2,402,1,1216,1216
132500,5,999,3,2,4,1,264,1,999,999
147000,5,1113,4,2,4,1,264,2,1113,1113
156000,5,1073,3,2,3,2,515,1,1073,1073
175000,5,1484,3,2,3,2,487,1,1484,1484
160000,5,2414,3,2,3,2,520,1,954,1766
86000,4,630,3,2,4,1,286,1,630,630
115000,5,1304,3,2,3,1,336,1,264,616
133000,6,1578,3,2,2,1,240,1,806,958
172785,6,1456,4,2,3,2,429,2,728,728
155000,5,1269,3,2,3,1,308,1,1269,1269
91300,5,886,3,2,3,1,273,1,190,886
34900,4,720,3,2,3,0,0,1,720,720
430000,8,3228,4,3,4,2,546,2,3200,3228
184000,7,1820,3,3,3,1,240,1,1026,1133
130000,5,899,3,2,4,1,288,1,864,899
120000,5,912,3,2,3,1,297,1,912,912
113000,6,1218,3,2,3,1,264,1,672,672
226700,7,1768,4,3,4,2,603,2,866,866
140000,5,1214,3,2,3,2,461,1,1214,1214
289000,7,1801,3,3,3,2,484,1,1501,1801
147000,6,1322,3,2,3,2,440,1,855,855
124500,5,1960,3,2,3,2,400,1,960,960
215000,8,1911,4,3,4,2,471,2,777,1065
208300,6,1218,4,2,4,2,676,2,1218,1218
161000,7,1378,3,3,4,2,360,1,689,689
124500,5,1041,3,2,3,1,270,1,1041,1041
164900,5,1363,4,2,3,1,288,2,1008,1363
202665,7,1368,4,3,4,2,474,2,1368,1368
129900,5,864,3,2,3,2,624,1,864,864
134000,6,1080,3,2,3,2,484,1,1084,1080
96500,5,789,3,2,3,1,200,1,768,789
402861,10,2020,5,3,5,3,900,2,2006,2020
158000,6,2119,3,2,3,2,583,1,689,1378
265000,7,2344,4,3,4,3,889,2,1264,1277
211000,6,1796,3,2,3,2,546,1,794,882
234000,7,2080,4,3,4,1,282,2,1276,1276
106250,4,1294,3,2,3,0,0,1,0,694
150000,6,1244,3,2,3,1,336,1,1244,1244
159000,6,1664,3,2,3,2,420,1,1004,1004
184750,10,4676,5,3,5,3,884,2,3138,3138
315750,7,2398,4,3,4,3,834,2,1379,1383
176000,7,1266,4,3,4,2,453,2,1257,1266
132000,5,928,3,2,3,1,252,1,928,928
446261,9,2713,5,3,5,3,858,2,1452,1476
86000,4,605,3,2,3,0,0,1,528,605
200624,6,2515,4,2,3,2,484,2,2035,2515
175000,6,1509,4,2,4,2,600,2,1461,1509
128000,6,1362,3,2,3,2,502,1,611,751
107500,5,827,3,2,3,1,392,1,0,827
39300,1,334,2,1,2,0,0,1,0,334
178000,8,1414,4,3,4,2,403,2,707,707
107500,5,1347,3,2,3,0,0,1,1117,820
188000,7,1724,3,3,4,2,527,1,880,880
111250,4,864,3,2,3,2,576,1,864,864
158000,5,1159,3,2,3,1,336,1,1051,1159
272000,8,1601,4,3,4,2,670,2,1581,1601
315000,9,1838,5,3,5,3,765,2,1838,1838
248000,8,2285,4,3,4,3,648,2,969,997
213250,7,1680,4,3,4,2,583,2,1650,1680
133000,7,767,3,3,3,1,367,1,723,767
179665,7,1496,4,3,4,2,426,2,654,664
229000,7,2183,4,3,4,3,786,2,1204,1377
210000,6,1635,3,2,3,2,440,1,1065,915
129500,5,768,3,2,3,2,624,1,768,768
125000,5,825,3,2,3,2,720,1,825,825
263000,7,2094,4,3,4,2,615,2,912,912
140000,6,1069,3,2,3,2,440,1,1069,1069
112500,5,928,3,2,3,1,288,1,928,928
255500,8,1717,4,3,4,3,908,2,1709,1717
108000,4,1126,3,2,4,2,520,1,0,1126
